#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
費|我們 還沒付 電費 。> 我們 沒付 電費 。<br /><br />wǒmen háiméifù diànfèi. > wǒmen méifù diànfèi.<br /><br />We haven't paid the electric bill yet. > We didn't pay the electric bill.
足|我 不喜歡 足球 。<br /><br />wǒ bùxǐhuān zúqiú.<br /><br />I don't like football.
爾|你 打過 高爾夫球 嗎？ —從來 沒有。<br /><br />nǐ dǎguò gāoěrfūqiú mā? —cónglái méiyǒu.<br /><br />Have you ever played golf? — No, never.
招|他們 對 我們 不是 很友善 。 他們 甚至 沒有 打招呼 。<br /><br />tāmen duì wǒmen búshì hěnyǒushàn. tāmen shénzhì méiyǒu dǎzhāohū.<br /><br />They weren't very friendly to us. They didn't even say hello.
群|菲律賓 是 靠近 台灣的 群島 。<br /><br />fēilǜbīn shì kàojìn táiwānde· qúndǎo.<br /><br />The Philippines is a group of islands near Taiwan.
熱|今天 不熱 。<br /><br />jīntiān búrè.<br /><br />It isn't hot today.
推|你 住了 一間 飯店 就是 帕維爾 推薦的 飯店。 > 我們 住了 帕維爾 所推薦的 飯店。<br /><br />nǐ zhùle· yìjiān fàndiàn jiùshì pàwéiěr tuījiànde· fàndiàn. > wǒmen zhùle· pàwéiěr suǒtuījiànde· fàndiàn.<br /><br />You stayed at a hotel. Pavel recommended it to you.
晚|我們 今天晚上 可能會 出去 。<br /><br />wǒmen jīntiānwǎnshàng kěnénghuì chūqù.<br /><br />We'll probably go out tonight.
響|電話 在 響 。 我 知道 不是 找 我的 。 一定 是 找 你的 。<br /><br />diànhuà zài xiǎng. wǒ zhīdào búshì zhǎo wǒde·. yídìng shì zhǎo nǐde·.<br /><br />The phone's ringing. I know it's not for me. It must be for you.
稱|他們 聲稱 已經 解決 問題 了 。<br /><br />tāmen shēngchēng yǐjīng jiějué wèntí le·.<br /><br />They claim to have solved the problem.
興|橋 正在 興建中 。<br /><br />qiáo zhèngzài xīngjiànzhōng.<br /><br />A bridge is being built. > A bridge is getting built.
待|我 很期待 跟 她 見面 。<br /><br />wǒ hěnqídài gēn tā jiànmiàn.<br /><br />I'm looking foward to meeting her.
約|我 來自 紐約 。<br /><br />wǒ láizì niǔyuē.<br /><br />I'm from New York.
陽|沒有 出 太陽 。<br /><br />méiyǒu chū tàiyáng.<br /><br />The sun isn't shining.
哥|我 遇見了 一個 人 ， 他的 哥哥 和 我 一起 上學 。<br /><br />wǒ yùjiànle· yīge· rén, tāde· gēgē hàn wǒ yìqǐ shàngxué.<br /><br />I met someone whose brother I went to school with.
驚|我 以為 他們 不會來 ， 這 真是個 大驚喜 。<br /><br />wǒ yǐwèi tāmen búhuìlái, zhè zhēnshìge· dàjīngxǐ.<br /><br />I wasn't expecting them to come. It was a complete surprise.
嗎|你 是 學生 嗎 ？<br /><br />nǐ shì xuéshēng mā?<br /><br />Are you a student?
整|他 整個 晚上都 沒有 說話 。<br /><br />tā zhěngge· wǎnshàngdōu méiyǒu shuōhuà.<br /><br />He didn't say a word all night long.
支|一支 足球隊 有 十一個 球員 。<br /><br />yīzhī zúqiúduì yǒu shíyīge· qiúyuán.<br /><br />There are eleven (11) players on a football team.
古|他們 喜歡 古典音樂 。<br /><br />tāmen xǐhuān gǔdiǎnyīnyuè.<br /><br />They like classical music.
漢|古根漢美術館 在 紐約 。<br /><br />gǔgēnhànměishùguǎn zài niǔyuē.<br /><br />The Guggenheim Museum is in New York.
突|大家 突然 停止 聊天 。變得 好安靜。<br /><br />dàjiā tūrán tíngzhǐ liáotiān. biàndé hǎoānjìng.<br /><br />Suddenly everybody stopped talking. There was silence.
號|他們 不知道 我的 電話號碼 。<br /><br />tāmen bùzhīdào wǒde· diànhuàhàomǎ.<br /><br />They don't know my phone number.
絕|他 拒絕吃 任何 東西 。<br /><br />tā jùjuéchī rènhé dōngxī.<br /><br />He refused to eat anything.
選|網球選手 一定 要打得 非常 好 才能 成為 職業 選手 。<br /><br />wǎngqiúxuǎnshǒu yídìng yàodǎdé fēicháng hǎo cáinéng chéngwéi zhíyèxuǎnshǒu.<br /><br />A tennis player must be very good to play professionally.
吧|你 會 說 中文 ， 對 吧 ？— 對 ， 但 說得 沒有 很好。<br /><br />nǐ huì shuō zhōngwén, duì ba·? — duì, dàn shuōdé méiyǒu hěnhǎo.<br /><br />You speak Chinese, don't you? — Yes, but not very well.
參|你們 有 誰 今晚 也 想 一起 去參加 派對的 ？<br /><br />nǐmen yǒu shéi jīnwǎn yě xiǎng yìqǐ qùcānjiā pàiduìde·?<br /><br />Do any of you want to go to a party tonight?
亞|肯亞 是 東非的 國家 。<br /><br />kěnyǎ shì dōngfēide· guójiā.<br /><br />Kenya is a country in East Africa.
復|你 不需要 手動 修復 ， 我 可以寫個 電腦程式 來幫 你 。<br /><br />nǐ bùxūyào shǒudòng xiūfù, wǒ kěyǐxiěge· diànnǎochéngshì láibāng nǐ.<br /><br />You don't need to fix that BY hand, I can write a computer program to help you. > You don't need to fix that manually.
傷|有人 在 車禍中 受傷 。<br /><br />yǒurén zài chēhuòzhōng shòushāng.<br /><br />The people were injured in the accident.
類|因為 吃素 ， 所以 光子 不吃 任何 肉類 。<br /><br />yīnwèi chīsù, suǒyǐ guāngzǐ bùchī rènhé ròulèi.<br /><br />Being a vegetarian, Mitsuko doesn't eat any kind of meat.
備|我 還沒 準備好。 請等 我 一下 。<br /><br />wǒ háiméi zhǔnbèihǎo. qǐngděng wǒ yíxià.<br /><br />I'm not ready yet. Please wait for me.
歡|我 不喜歡 他 ， 他 不喜歡 我 。<br /><br />wǒ bùxǐhuān tā, tā bùxǐhuān wǒ.<br /><br />I don't like him, and he doesn't like me.
另|這個 包包 比 另外 一個 稍微 重一點 。<br /><br />zhège· bāobāo bǐ lìngwài yīge· shāowéi zhòngyìdiǎn.<br /><br />This bag is slightly heavier than the other one.
港|繁  我們 上個 月 去 香港 。<br /><br />wǒmen shàngge· yuè qù xiānggǎng.<br /><br />We went to Hong Kong last month.
刻|我 對 他的 演講 感到 印象深刻 。 他 口才 真 好。<br /><br />wǒ duì tāde· yǎnjiǎng gǎndào yìnxiàngshēnkè. tā kǒucái zhēn hǎo.<br /><br />I was very impressed with his speech. He's an eloquent speaker.
星|我 星期一 要去看 電影 。<br /><br />wǒ xīngqíyī yàoqùkàn diànyǐng.<br /><br />I'm going to the movies on Monday.
斷|你 一直 打斷 我 說話 。<br /><br />nǐ yìzhí dǎduàn wǒ shuōhuà.<br /><br />You keep interrupting when I'm talking.
陳|陳太太 在 商店 買了 三公升的 牛奶 。 她的 小孩 喝 很多 牛奶 。<br /><br />chéntàitai· zài shāngdiàn mǎile· sāngōngshēngde· niúnǎi. tāde· xiǎohái hē hěnduō niúnǎi.<br /><br />Mrs. Chen bought three (3) liters of milk at the store. Her children drink a lot of milk.
農|之後 ， 她 在 農場 工作 ， 但 她 不太 喜歡 這個 工作 。<br /><br />zhīhòu, tā zài nóngchǎng gōngzuò, dàn tā bútài xǐhuān zhège· gōngzuò.<br /><br />After that, she worked on a farm, but she didn't enjoy it very much.
夜|我 半夜 十二點 會 睡著。<br /><br />wǒ bànyè shíèrdiǎn huì shuìzháo.<br /><br />I'll be asleep at midnight tonight.
唸|我 試著 唸書了 ， 但 我 無法 集中 精神 。<br /><br />wǒ shìzhe· niànshūle·, dàn wǒ wúfǎ jízhōng jīngshén.<br /><br />I tried to study, but I couldn't concentrate.
價|這個 飯店 比 另外 一家 好，而且 價格 差不多 。<br /><br />zhège· fàndiàn bǐ lìngwài yìjiā hǎo, érqiě jiàgé chābùduō.<br /><br />This hotel is better than the other one, and it's no more expensive.
腦|我 沒有 電腦 。<br /><br />wǒ méiyǒu diànnǎo.<br /><br />I don't have a computer.
規|腳踏車 跟 車子 一樣 都必須要 遵守 交通規則 。<br /><br />jiǎotàchē gēn chēzǐ yíyàng dōubìxūyào zūnshǒu jiāotōngguīzé.<br /><br />Bicyclists must follow the same traffic rules as drivers.
底|我 十二月底 會回來。<br /><br />wǒ shíèryuèdǐ huìhuílái.<br /><br />I'm coming back at the end of December. > I'm coming back at the end of the year.
故|過年時 交通事故 比較 多 。<br /><br />guòniánshí jiāotōngshìgù bǐjiào duō.<br /><br />There's always an increase IN the number OF traffic accidents around New Year's.
省|公司 有了 新的 業務 計畫 ， 目的 是 為了 省 錢 。<br /><br />gōngsī yǒule· xīnde· yèwù jìhuà, mùdì shì wèile· shěngqián.<br /><br />The company has a new business plan, the aim of which is to save money.
媽|他的 媽媽 在 家 ， 他 在 學校 。<br /><br />tāde· māmā zài jiā, tā zài xuéxiào.<br /><br />His mother's at home. He's at school.
剛|我 剛 開始 在 業務部 上班 。<br /><br />wǒ gāng kāishǐ zài yèwùbù shàngbān.<br /><br />I just started working in the sales department.
句|仔細地 讀 這 每一個 句子 。<br /><br />zǐxìde· dú zhè měiyīge· jùzǐ.<br /><br />Read each of these sentences carefully.
顯|我 為 課程 寫的 文章 有 很多 明顯的 錯誤 。<br /><br />wǒ wéi kèchéng xiěde· wénzhāng yǒu hěnduō míngxiǎnde· cuòwù.<br /><br />The paper I wrote for class was full of obvious mistakes.
消|明天的 會議 取消了 。<br /><br />míngtiānde· huìyì qǔxiāole·.<br /><br />The meeting tomorrow has been canceled. > Tomorrow's meeting has been canceled.
衣|我 沒有要買 這件 衣服 。 太貴了。<br /><br />wǒ méiyǒuyàomǎi zhèjiàn yīfú. tàiguìle·.<br /><br />I'm not going to buy this shirt. It's too expensive.
陸|亞洲 是 世界上 最大的 大陸 。<br /><br />yǎzhōu shì shìjièshàng zuìdàde· dàlù.<br /><br />Asia is the largest continent in the world.
器|以前 人們 隨身攜帶 呼叫器 ， 但 現在 已經 完全 過時了 。<br /><br />yǐqián rénmen suíshēnxīdài hūjiàoqì, dàn xiànzài yǐjīng wánquán guòshíle·.<br /><br />People used to carry pagers around, but they've completely fallen out of use.
確|我 不確定 ， 但 我 沒有 開得 很快 。<br /><br />wǒ búquèdìng, dàn wǒ méiyǒu kāidé hěnkuài.<br /><br />I'm not sure, but I wasn't driving very fast.
破|車子 被 破壞了 。<br /><br />chēzǐ bèi pòhuàile·.<br /><br />The car's been damaged. > The car got damaged.
具|這些 家具 是 我的 。<br /><br />zhèxiē jiājù shì wǒde·.<br /><br />These chairs are mine. > This furniture is mine.
居|我們 所居住的 世界 一直 在 改變 。<br /><br />wǒmen suǒjūzhùde· shìjiè yìzhí zài gǎibiàn.<br /><br />We live in a world that is changing all the time.
批|他的 批評 對 我 來說 很不公平 。<br /><br />tāde· pīpíng duì wǒ láishuō hěnbùgōngpíng.<br /><br />I think it was very unfair of him to criticize me.
送|兩個 人 被 送 到 醫院 。<br /><br />liǎngge· rén bèi sòng dào yīyuàn.<br /><br />Two people were taken to the hospital.
緊|要用 外文 演講 ， 你 緊張 嗎 ？<br /><br />yàoyòng wàiwén yǎnjiǎng, nǐ jǐnzhāng mā?<br /><br />Were you nervous about giving a speech in a foreign language?
幫|你 會幫 我 ， 對 吧 ？— 對 ， 我 當然 會 。<br /><br />nǐ huìbāng wǒ, duì ba·? — duì, wǒ dāngrán huì.<br /><br />You'll help me, won't you? — Yes, of course I will.
線|冰箱 沒有 正常 運作 ， 因為 你 沒有 把 線 給 接好。<br /><br />bīngxiāng méiyǒu zhèngcháng yùnzuò, yīnwèi nǐ méiyǒu bǎ xiàn gěi jiēhǎo.<br /><br />The fridge isn't working because you haven't plugged it in properly.
存|我 覺得 我 該存 多一點 錢 。<br /><br />wǒ juéde wǒ gāicún duōyìdiǎn qián.<br /><br />I think I should save more money.
願|她 問 我 願不願意去 旅行 。<br /><br />tā wèn wǒ yuànbùyuànyìqù lǚxíng.<br /><br />She asked if I was willing to travel.
奇|我 知道 他 很奇怪 ， 因為 大家 有 叫 我 要 小心 那個 人 。<br /><br />wǒ zhīdào tā hěnqíguài, yīnwèi dàjiā yǒu jiào wǒ yàoxiǎoxīn nàge· rén.<br /><br />I knew he was strange because everybody had warned me about him.
害|因為 很暗 ， 所以 我 很害怕 。<br /><br />yīnwèi hěnàn, suǒyǐ wǒ hěnhàipà.<br /><br />I was afraid because it was very dark.
增|受心臟病之苦的 人數 在 增加中 。<br /><br />shòuxīnzàngbìngzhīkǔde· rénshù zài zēngjiāzhōng.<br /><br />The number of people suffering from heart disease has increased. > The number of heart disease sufferers has increased.
料|這部 電影的 結局 出乎 我的 意料 。<br /><br />zhèbù diànyǐngde· jiéjú chūhū wǒde· yìliào.<br /><br />The film was completely different from what I'd been expecting.
州|美國 有 五十個 州 。<br /><br />měiguó yǒu wǔshíge· zhōu.<br /><br />There are fifty (50) states in the United States.
節|她 想要開始 節食 ， 因為 她 今年 胖了 很多 。<br /><br />tā xiǎngyàokāishǐ jiéshí, yīnwèi tā jīnnián pàngle· hěnduō.<br /><br />She's put ON a lot of weight this year, so she wants to go ON a diet.
左|我 習慣開 在 左邊 車道 ， 因為 我 在 英國 長大 。<br /><br />wǒ xíguànkāi zài zuǒbiān chēdào, yīnwèi wǒ zài yīngguó zhǎngdà.<br /><br />I'm used to driving on the left because I grew up in England.
裝|我 假裝 在看 報紙 。<br /><br />wǒ jiǎzhuāng zàikàn bàozhǐ.<br /><br />I pretended to be reading the newspaper.
易|有 一些人 學 語言 比 其他人 容易 。<br /><br />yǒu yìxiērén xué yǔyán bǐ qítārén róngyì.<br /><br />Some people learn languages more easily than others.
急|我 急急忙忙地 趕到 。<br /><br />wǒ jíjímángmángde· gǎndào.<br /><br />I hurried so that I wouldn't be late.
久|我 好久 沒見到 她 了 。<br /><br />wǒ hǎojiǔ méijiàndào tā le·.<br /><br />I haven't seen her for such a long time.
低|她 接受 這個 工作 ， 儘管 薪水 很低 。<br /><br />tā jiēshòu zhège· gōngzuò, jǐnguǎn xīnshuǐ hěndī.<br /><br />She accepted the job in spite of the salary, which was rather low.
歲|你 幾歲 ？<br /><br />nǐ jǐsuì?<br /><br />How old are you?
需|我 需要 幾天 的時間 來想想 你的 提議 。<br /><br />wǒ xūyào jǐtiān de·shíjiān láixiǎngxiǎng nǐde· tíyì.<br /><br />I need a few days to think about your proposal.
酒|我 不喜歡 常常 去 酒吧 。<br /><br />wǒ bùxǐhuān chángcháng qù jiǔbā.<br /><br />I don't like to go to bars very often.
河|世界上 最長的 河 是 哪一條 ？<br /><br />shìjièshàng zuìchángde· hé shì nǎyìtiáo?<br /><br />What's the longest river in the world?
初|我 一月初 要離開 。<br /><br />wǒ yīyuèchū yàolíkāi.<br /><br />I'm going away at the beginning of January. > I'm going away at the beginning of the year.
遊|我 一個 人 在 日本 到處 旅遊 。<br /><br />wǒ yīge· rén zài rìběn dàochù lǚyóu.<br /><br />I traveled around Japan on my own.
嚴|她的 病 比 我們 當初 想像的 還 嚴重 。<br /><br />tāde· bìng bǐ wǒmen dāngchū xiǎngxiàngde· hái yánzhòng.<br /><br />Her illness was far more serious than we thought at first.
鐵|我 每天 上課 必須搭 地鐵 。<br /><br />wǒ měitiān shàngkè bìxūdā dìtiě.<br /><br />I have to take the subway to class every day.
族|我 是 上班族 。<br /><br />wǒ shì shàngbānzú.<br /><br />I work in an office.
除|除非 我 工作 到 太晚 ， 不然 我們 明天 見 。<br /><br />chúfēi wǒ gōngzuò dào tàiwǎn, bùrán wǒmen míngtiān jiàn.<br /><br />I'll see you tomorrow unless I have to work late.
份|得到 一份 工作 對 她 來說 並不難 。<br /><br />dédào yífèn gōngzuò duì tā láishuō bìngbùnán.<br /><br />She had no difficulty getting a job.
敢|我 不敢 跟 他們 要錢 。<br /><br />wǒ bùgǎn gēn tāmen yàoqián.<br /><br />I wouldn't dream of asking them for money.
血|你 刮 鬍子 刮到 流血 嗎？<br /><br />nǐ guā húzǐ guādào liúxiě mā?<br /><br />Did you cut yourself shaving?
企|我的 經理 在 我們 新的 行銷企畫中 指出 一個 潛在的 問題 。<br /><br />wǒde· jīnglǐ zài wǒmen xīnde· xíngxiāoqìhuàzhōng zhǐchū yīge· qiánzàide· wèntí.<br /><br />My manager pointed out a potential problem with our new marketing plan.
